trip_id,start_time,end_time,headway_secs,exact_times
102-I-L-B04,08:00:00,09:30:00,675,0
102-I-L-B05,09:30:00,12:30:00,831,0
102-I-L-B06,12:30:00,14:00:00,600,0
102-I-L-B07,14:00:00,16:30:00,692,0
102-I-L-B08,16:30:00,18:30:00,554,0
102-I-L-B09,18:30:00,20:30:00,720,0
102-I-L-B10,20:30:00,23:00:00,750,0
102-I-L-B11,23:00:00,24:00:00,900,0
102-I-S-B12,00:00:00,01:00:00,1800,0
102-I-S-B14,05:30:00,06:30:00,1200,0
102-I-S-B15,06:30:00,09:00:00,692,0
102-I-S-B16,09:00:00,12:00:00,771,0
102-I-S-B17,12:00:00,15:00:00,720,0
102-I-S-B18,15:00:00,19:30:00,736,0
102-I-S-B19,19:30:00,23:00:00,900,0
102-I-S-B20,23:00:00,24:00:00,1200,0
102-I-D-B21,00:00:00,01:00:00,1800,0
102-I-D-B23,05:30:00,07:30:00,1029,0
102-I-D-B24,07:30:00,13:00:00,762,0
102-I-D-B25,13:00:00,18:00:00,720,0
102-I-D-B26,18:00:00,21:00:00,771,0
102-I-D-B27,21:00:00,23:00:00,1029,0
102-I-D-B28,23:00:00,24:00:00,1200,0
102-R-L-B00,00:00:00,01:00:00,1800,0
102-R-L-B02,05:30:00,06:30:00,600,0
102-R-L-B03,06:30:00,08:00:00,600,0
102-R-L-B04,08:00:00,09:30:00,675,0
102-R-L-B05,09:30:00,12:30:00,771,0
102-R-L-B06,12:30:00,14:00:00,600,0
102-R-L-B07,14:00:00,16:30:00,692,0
102-R-L-B08,16:30:00,18:30:00,800,0
102-R-L-B09,18:30:00,20:30:00,800,0
102-R-L-B10,20:30:00,23:00:00,818,0
102-R-L-B11,23:00:00,24:00:00,1800,0
102-R-S-B12,00:00:00,01:00:00,1800,0
102-R-S-B14,05:30:00,06:30:00,1200,0
102-R-S-B15,06:30:00,09:00:00,692,0
102-R-S-B16,09:00:00,12:00:00,771,0
102-R-S-B17,12:00:00,15:00:00,720,0
102-R-S-B18,15:00:00,19:30:00,736,0
102-R-S-B19,19:30:00,23:00:00,900,0
102-R-S-B20,23:00:00,24:00:00,1800,0
102-R-D-B21,00:00:00,01:00:00,1800,0
102-R-D-B23,05:30:00,07:30:00,900,0
102-R-D-B24,07:30:00,13:00:00,762,0
102-R-D-B25,13:00:00,18:00:00,720,0
102-R-D-B26,18:00:00,21:00:00,771,0
102-R-D-B27,21:00:00,23:00:00,900,0
102-R-D-B28,23:00:00,24:00:00,1200,0
103-I-L-B00,00:00:00,01:00:00,1800,0
103-I-L-B01,01:00:00,05:30:00,8100,0
103-I-L-B02,05:30:00,06:30:00,1200,0
103-I-L-B03,06:30:00,08:00:00,600,0
103-I-L-B04,08:00:00,09:30:00,450,0
103-I-L-B05,09:30:00,12:30:00,600,0
103-I-L-B06,12:30:00,14:00:00,600,0
103-I-L-B07,14:00:00,16:30:00,600,0
103-I-L-B08,16:30:00,18:30:00,514,0
103-I-L-B09,18:30:00,20:30:00,514,0
103-I-L-B10,20:30:00,23:00:00,750,0
103-I-L-B11,23:00:00,24:00:00,1800,0
103-I-S-B12,00:00:00,01:00:00,1800,0
103-I-S-B13,01:00:00,05:30:00,8100,0
103-I-S-B14,05:30:00,06:30:00,900,0
103-I-S-B15,06:30:00,09:00:00,692,0
103-I-S-B16,09:00:00,12:00:00,720,0
103-I-S-B17,12:00:00,15:00:00,720,0
103-I-S-B18,15:00:00,19:30:00,736,0
103-I-S-B19,19:30:00,23:00:00,1050,0
103-I-S-B20,23:00:00,24:00:00,1800,0
103-I-D-B21,00:00:00,01:00:00,1800,0
103-I-D-B22,01:00:00,05:30:00,8100,0
103-I-D-B23,05:30:00,07:30:00,1200,0
103-I-D-B24,07:30:00,13:00:00,990,0
103-I-D-B25,13:00:00,18:00:00,750,0
103-I-D-B26,18:00:00,21:00:00,900,0
103-I-D-B27,21:00:00,23:00:00,1800,0
103-I-D-B28,23:00:00,24:00:00,1800,0
103-R-L-B00,00:00:00,01:00:00,1800,0
103-R-L-B02,05:30:00,06:30:00,720,0
103-R-L-B03,06:30:00,08:00:00,415,0
103-R-L-B04,08:00:00,09:30:00,491,0
103-R-L-B05,09:30:00,12:30:00,600,0
103-R-L-B06,12:30:00,14:00:00,600,0
103-R-L-B07,14:00:00,16:30:00,600,0
103-R-L-B08,16:30:00,18:30:00,600,0
103-R-L-B09,18:30:00,20:30:00,655,0
103-R-L-B10,20:30:00,23:00:00,818,0
103-R-L-B11,23:00:00,24:00:00,1800,0
103-R-S-B12,00:00:00,01:00:00,1800,0
103-R-S-B14,05:30:00,06:30:00,900,0
103-R-S-B15,06:30:00,09:00:00,692,0
103-R-S-B16,09:00:00,12:00:00,720,0
103-R-S-B17,12:00:00,15:00:00,720,0
103-R-S-B18,15:00:00,19:30:00,736,0
103-R-S-B19,19:30:00,23:00:00,1050,0
103-R-S-B20,23:00:00,24:00:00,1800,0
103-R-D-B21,00:00:00,01:00:00,1800,0
103-R-D-B23,05:30:00,07:30:00,1200,0
103-R-D-B24,07:30:00,13:00:00,990,0
103-R-D-B25,13:00:00,18:00:00,750,0
103-R-D-B26,18:00:00,21:00:00,900,0
103-R-D-B27,21:00:00,23:00:00,1800,0
103-R-D-B28,23:00:00,24:00:00,1800,0
104-I-L-B00,00:00:00,01:00:00,1200,0
104-I-L-B01,01:00:00,05:30:00,1800,0
104-I-L-B02,05:30:00,06:30:00,514,0
104-I-L-B03,06:30:00,08:00:00,386,0
104-I-L-B04,08:00:00,09:30:00,360,0
104-I-L-B05,09:30:00,12:30:00,360,0
104-I-L-B06,12:30:00,14:00:00,360,0
104-I-L-B07,14:00:00,16:30:00,346,0
104-I-L-B08,16:30:00,18:30:00,240,0
104-I-L-B09,18:30:00,20:30:00,240,0
104-I-L-B10,20:30:00,23:00:00,391,0
104-I-L-B11,23:00:00,24:00:00,600,0
104-I-S-B12,00:00:00,01:00:00,1200,0
104-I-S-B13,01:00:00,05:30:00,1800,0
104-I-S-B14,05:30:00,06:30:00,900,0
104-I-S-B15,06:30:00,09:00:00,500,0
104-I-S-B16,09:00:00,12:00:00,450,0
104-I-S-B17,12:00:00,15:00:00,450,0
104-I-S-B18,15:00:00,19:30:00,450,0
104-I-S-B19,19:30:00,23:00:00,525,0
104-I-S-B20,23:00:00,24:00:00,720,0
104-I-D-B21,00:00:00,01:00:00,1200,0
104-I-D-B22,01:00:00,05:30:00,1620,0
104-I-D-B23,05:30:00,07:30:00,1029,0
104-I-D-B24,07:30:00,13:00:00,600,0
104-I-D-B25,13:00:00,18:00:00,529,0
104-I-D-B26,18:00:00,21:00:00,600,0
104-I-D-B27,21:00:00,23:00:00,720,0
104-I-D-B28,23:00:00,24:00:00,1200,0
104-R-L-B00,00:00:00,01:00:00,1800,0
104-R-L-B01,01:00:00,05:30:00,1620,0
104-R-L-B02,05:30:00,06:30:00,360,0
104-R-L-B03,06:30:00,08:00:00,245,0
104-R-L-B04,08:00:00,09:30:00,360,0
104-R-L-B05,09:30:00,12:30:00,360,0
104-R-L-B06,12:30:00,14:00:00,360,0
104-R-L-B07,14:00:00,16:30:00,360,0
104-R-L-B08,16:30:00,18:30:00,400,0
104-R-L-B09,18:30:00,20:30:00,480,0
104-R-L-B10,20:30:00,23:00:00,643,0
104-R-L-B11,23:00:00,24:00:00,900,0
104-R-S-B12,00:00:00,01:00:00,1800,0
104-R-S-B13,01:00:00,05:30:00,1800,0
104-R-S-B14,05:30:00,06:30:00,600,0
104-R-S-B15,06:30:00,09:00:00,429,0
104-R-S-B16,09:00:00,12:00:00,432,0
104-R-S-B17,12:00:00,15:00:00,450,0
104-R-S-B18,15:00:00,19:30:00,476,0
104-R-S-B19,19:30:00,23:00:00,663,0
104-R-S-B20,23:00:00,24:00:00,1200,0
104-R-D-B21,00:00:00,01:00:00,1800,0
104-R-D-B22,01:00:00,05:30:00,1800,0
104-R-D-B23,05:30:00,07:30:00,800,0
104-R-D-B24,07:30:00,13:00:00,582,0
104-R-D-B25,13:00:00,18:00:00,529,0
104-R-D-B26,18:00:00,21:00:00,635,0
104-R-D-B27,21:00:00,23:00:00,1029,0
104-R-D-B28,23:00:00,24:00:00,1200,0
105c-R-L-B02,05:30:00,06:30:00,720,0
105c-R-L-B03,06:30:00,08:00:00,600,0
105c-R-L-B04,08:00:00,09:30:00,675,0
105c-R-L-B08,16:30:00,18:30:00,720,0
105c-R-L-B09,18:30:00,20:30:00,720,0
105c-R-L-B10,20:30:00,23:00:00,4500,0
105-I-L-B01,01:00:00,05:30:00,8100,0
105-I-L-B02,05:30:00,06:30:00,327,0
105-I-L-B03,06:30:00,08:00:00,300,0
105-I-L-B04,08:00:00,09:30:00,360,0
105-I-L-B05,09:30:00,12:30:00,470,0
105-I-L-B06,12:30:00,14:00:00,491,0
105-I-L-B07,14:00:00,16:30:00,450,0
105-I-L-B08,16:30:00,18:30:00,360,0
105-I-L-B09,18:30:00,20:30:00,450,0
105-I-L-B10,20:30:00,23:00:00,750,0
105-I-L-B11,23:00:00,24:00:00,900,0
105-I-S-B14,05:30:00,06:30:00,720,0
105-I-S-B15,06:30:00,09:00:00,500,0
105-I-S-B16,09:00:00,12:00:00,514,0
105-I-S-B17,12:00:00,15:00:00,514,0
105-I-S-B18,15:00:00,19:30:00,540,0
105-I-S-B19,19:30:00,23:00:00,741,0
105-I-S-B20,23:00:00,24:00:00,1200,0
105-I-D-B23,05:30:00,07:30:00,1200,0
105-I-D-B24,07:30:00,13:00:00,683,0
105-I-D-B25,13:00:00,18:00:00,600,0
105-I-D-B26,18:00:00,21:00:00,771,0
105-I-D-B27,21:00:00,23:00:00,900,0
105-I-D-B28,23:00:00,24:00:00,1200,0
105-R-L-B01,01:00:00,05:30:00,8100,0
105-R-L-B02,05:30:00,06:30:00,327,0
105-R-L-B03,06:30:00,08:00:00,318,0
105-R-L-B04,08:00:00,09:30:00,386,0
105-R-L-B05,09:30:00,12:30:00,470,0
105-R-L-B06,12:30:00,14:00:00,491,0
105-R-L-B07,14:00:00,16:30:00,450,0
105-R-L-B08,16:30:00,18:30:00,379,0
105-R-L-B09,18:30:00,20:30:00,424,0
105-R-L-B10,20:30:00,23:00:00,750,0
105-R-L-B11,23:00:00,24:00:00,1200,0
105-R-S-B13,01:00:00,05:30:00,8100,0
105-R-S-B14,05:30:00,06:30:00,600,0
105-R-S-B15,06:30:00,09:00:00,474,0
105-R-S-B16,09:00:00,12:00:00,514,0
105-R-S-B17,12:00:00,15:00:00,514,0
105-R-S-B18,15:00:00,19:30:00,540,0
105-R-S-B19,19:30:00,23:00:00,788,0
105-R-S-B20,23:00:00,24:00:00,1200,0
105-R-D-B23,05:30:00,07:30:00,800,0
105-R-D-B24,07:30:00,13:00:00,639,0
105-R-D-B25,13:00:00,18:00:00,600,0
105-R-D-B26,18:00:00,21:00:00,771,0
105-R-D-B27,21:00:00,23:00:00,900,0
105-R-D-B28,23:00:00,24:00:00,1200,0
106-I-L-B02,05:30:00,06:30:00,600,0
106-I-L-B03,06:30:00,08:00:00,450,0
106-I-L-B04,08:00:00,09:30:00,540,0
106-I-L-B05,09:30:00,12:30:00,600,0
106-I-L-B06,12:30:00,14:00:00,600,0
106-I-L-B07,14:00:00,16:30:00,563,0
106-I-L-B08,16:30:00,18:30:00,655,0
106-I-L-B09,18:30:00,20:30:00,900,0
106-I-L-B10,20:30:00,23:00:00,900,0
106-I-L-B11,23:00:00,24:00:00,1200,0
106-I-S-B14,05:30:00,06:30:00,1800,0
106-I-S-B15,06:30:00,09:00:00,900,0
106-I-S-B16,09:00:00,12:00:00,900,0
106-I-S-B17,12:00:00,15:00:00,900,0
106-I-S-B18,15:00:00,19:30:00,853,0
106-I-S-B19,19:30:00,23:00:00,1260,0
106-I-S-B20,23:00:00,24:00:00,1200,0
106-I-D-B23,05:30:00,07:30:00,1800,0
106-I-D-B24,07:30:00,13:00:00,1165,0
106-I-D-B25,13:00:00,18:00:00,1200,0
106-I-D-B26,18:00:00,21:00:00,1200,0
106-I-D-B27,21:00:00,23:00:00,1200,0
106-I-D-B28,23:00:00,24:00:00,1800,0
106-R-L-B02,05:30:00,06:30:00,900,0
106-R-L-B03,06:30:00,08:00:00,491,0
106-R-L-B04,08:00:00,09:30:00,600,0
106-R-L-B05,09:30:00,12:30:00,600,0
106-R-L-B06,12:30:00,14:00:00,600,0
106-R-L-B07,14:00:00,16:30:00,563,0
106-R-L-B08,16:30:00,18:30:00,600,0
106-R-L-B09,18:30:00,20:30:00,720,0
106-R-L-B10,20:30:00,23:00:00,900,0
106-R-L-B11,23:00:00,24:00:00,1200,0
106-R-S-B14,05:30:00,06:30:00,1800,0
106-R-S-B15,06:30:00,09:00:00,900,0
106-R-S-B16,09:00:00,12:00:00,900,0
106-R-S-B17,12:00:00,15:00:00,900,0
106-R-S-B18,15:00:00,19:30:00,853,0
106-R-S-B19,19:30:00,23:00:00,1260,0
106-R-S-B20,23:00:00,24:00:00,1200,0
106-R-D-B23,05:30:00,07:30:00,1800,0
106-R-D-B24,07:30:00,13:00:00,1165,0
106-R-D-B25,13:00:00,18:00:00,1200,0
106-R-D-B26,18:00:00,21:00:00,1200,0
106-R-D-B27,21:00:00,23:00:00,1200,0
106-R-D-B28,23:00:00,24:00:00,1200,0
107c-I-L-B03,06:30:00,08:00:00,771,0
107c-I-L-B08,16:30:00,18:30:00,900,0
107c-I-L-B09,18:30:00,20:30:00,1029,0
107c-R-L-B03,06:30:00,08:00:00,491,0
107c-R-L-B08,16:30:00,18:30:00,2400,0
107c-R-L-B09,18:30:00,20:30:00,1200,0
107-I-L-B00,00:00:00,01:00:00,1800,0
107-I-L-B01,01:00:00,05:30:00,1350,0
107-I-L-B02,05:30:00,06:30:00,450,0
107-I-L-B03,06:30:00,08:00:00,360,0
107-I-L-B04,08:00:00,09:30:00,415,0
107-I-L-B05,09:30:00,12:30:00,450,0
107-I-L-B06,12:30:00,14:00:00,450,0
107-I-L-B07,14:00:00,16:30:00,429,0
107-I-L-B08,16:30:00,18:30:00,360,0
107-I-L-B09,18:30:00,20:30:00,514,0
107-I-L-B10,20:30:00,23:00:00,900,0
107-I-L-B11,23:00:00,24:00:00,1200,0
107-I-S-B12,00:00:00,01:00:00,1800,0
107-I-S-B13,01:00:00,05:30:00,1620,0
107-I-S-B14,05:30:00,06:30:00,600,0
107-I-S-B15,06:30:00,09:00:00,500,0
107-I-S-B16,09:00:00,12:00:00,514,0
107-I-S-B17,12:00:00,15:00:00,540,0
107-I-S-B18,15:00:00,19:30:00,600,0
107-I-S-B19,19:30:00,23:00:00,788,0
107-I-S-B20,23:00:00,24:00:00,1200,0
107-I-D-B21,00:00:00,01:00:00,1800,0
107-I-D-B22,01:00:00,05:30:00,1800,0
107-I-D-B23,05:30:00,07:30:00,900,0
107-I-D-B24,07:30:00,13:00:00,600,0
107-I-D-B25,13:00:00,18:00:00,600,0
107-I-D-B26,18:00:00,21:00:00,600,0
107-I-D-B27,21:00:00,23:00:00,800,0
107-I-D-B28,23:00:00,24:00:00,1200,0
107-R-L-B00,00:00:00,01:00:00,1800,0
107-R-L-B01,01:00:00,05:30:00,1246,0
107-R-L-B02,05:30:00,06:30:00,257,0
107-R-L-B03,06:30:00,08:00:00,338,0
107-R-L-B04,08:00:00,09:30:00,415,0
107-R-L-B05,09:30:00,12:30:00,450,0
107-R-L-B06,12:30:00,14:00:00,450,0
107-R-L-B07,14:00:00,16:30:00,409,0
107-R-L-B08,16:30:00,18:30:00,400,0
107-R-L-B09,18:30:00,20:30:00,514,0
107-R-L-B10,20:30:00,23:00:00,750,0
107-R-L-B11,23:00:00,24:00:00,1200,0
107-R-S-B12,00:00:00,01:00:00,1800,0
107-R-S-B13,01:00:00,05:30:00,1620,0
107-R-S-B14,05:30:00,06:30:00,600,0
107-R-S-B15,06:30:00,09:00:00,500,0
107-R-S-B16,09:00:00,12:00:00,514,0
107-R-S-B17,12:00:00,15:00:00,540,0
107-R-S-B18,15:00:00,19:30:00,600,0
107-R-S-B19,19:30:00,23:00:00,663,0
107-R-S-B20,23:00:00,24:00:00,1200,0
107-R-D-B21,00:00:00,01:00:00,1800,0
107-R-D-B22,01:00:00,05:30:00,1800,0
107-R-D-B23,05:30:00,07:30:00,900,0
107-R-D-B24,07:30:00,13:00:00,600,0
107-R-D-B25,13:00:00,18:00:00,600,0
107-R-D-B26,18:00:00,21:00:00,600,0
107-R-D-B27,21:00:00,23:00:00,800,0
107-R-D-B28,23:00:00,24:00:00,1200,0
108-I-L-B01,01:00:00,05:30:00,3240,0
108-I-L-B02,05:30:00,06:30:00,514,0
108-I-L-B03,06:30:00,08:00:00,491,0
108-I-L-B04,08:00:00,09:30:00,491,0
108-I-L-B05,09:30:00,12:30:00,600,0
108-I-L-B06,12:30:00,14:00:00,600,0
108-I-L-B07,14:00:00,16:30:00,563,0
108-I-L-B08,16:30:00,18:30:00,554,0
108-I-L-B09,18:30:00,20:30:00,720,0
108-I-L-B10,20:30:00,23:00:00,818,0
108-I-L-B11,23:00:00,24:00:00,1800,0
108-I-S-B13,01:00:00,05:30:00,8100,0
108-I-S-B14,05:30:00,06:30:00,900,0
108-I-S-B15,06:30:00,09:00:00,750,0
108-I-S-B16,09:00:00,12:00:00,771,0
108-I-S-B17,12:00:00,15:00:00,720,0
108-I-S-B18,15:00:00,19:30:00,736,0
108-I-S-B19,19:30:00,23:00:00,969,0
108-I-S-B20,23:00:00,24:00:00,1800,0
108-I-D-B23,05:30:00,07:30:00,1200,0
108-I-D-B24,07:30:00,13:00:00,900,0
108-I-D-B25,13:00:00,18:00:00,900,0
108-I-D-B26,18:00:00,21:00:00,900,0
108-I-D-B27,21:00:00,23:00:00,1200,0
108-I-D-B28,23:00:00,24:00:00,1800,0
108-R-L-B02,05:30:00,06:30:00,720,0
108-R-L-B03,06:30:00,08:00:00,491,0
108-R-L-B04,08:00:00,09:30:00,540,0
108-R-L-B05,09:30:00,12:30:00,600,0
108-R-L-B06,12:30:00,14:00:00,600,0
108-R-L-B07,14:00:00,16:30:00,563,0
108-R-L-B08,16:30:00,18:30:00,480,0
108-R-L-B09,18:30:00,20:30:00,720,0
108-R-L-B10,20:30:00,23:00:00,818,0
108-R-L-B11,23:00:00,24:00:00,1800,0
108-R-S-B14,05:30:00,06:30:00,900,0
108-R-S-B15,06:30:00,09:00:00,750,0
108-R-S-B16,09:00:00,12:00:00,771,0
108-R-S-B17,12:00:00,15:00:00,720,0
108-R-S-B18,15:00:00,19:30:00,736,0
108-R-S-B19,19:30:00,23:00:00,900,0
108-R-S-B20,23:00:00,24:00:00,1200,0
108-R-D-B23,05:30:00,07:30:00,1200,0
108-R-D-B24,07:30:00,13:00:00,900,0
108-R-D-B25,13:00:00,18:00:00,900,0
108-R-D-B26,18:00:00,21:00:00,900,0
108-R-D-B27,21:00:00,23:00:00,1200,0
108-R-D-B28,23:00:00,24:00:00,1800,0
109-I-L-B02,05:30:00,06:30:00,450,0
109-I-L-B03,06:30:00,08:00:00,540,0
109-I-L-B04,08:00:00,09:30:00,600,0
109-I-L-B05,09:30:00,12:30:00,568,0
109-I-L-B06,12:30:00,14:00:00,675,0
109-I-L-B07,14:00:00,16:30:00,529,0
109-I-L-B08,16:30:00,18:30:00,480,0
109-I-L-B09,18:30:00,20:30:00,600,0
109-I-L-B10,20:30:00,23:00:00,643,0
109-I-L-B11,23:00:00,24:00:00,1200,0
109-I-S-B14,05:30:00,06:30:00,1200,0
109-I-S-B15,06:30:00,09:00:00,900,0
109-I-S-B16,09:00:00,12:00:00,900,0
109-I-S-B17,12:00:00,15:00:00,900,0
109-I-S-B18,15:00:00,19:30:00,900,0
109-I-S-B19,19:30:00,23:00:00,969,0
109-I-S-B20,23:00:00,24:00:00,1200,0
109-I-D-B23,05:30:00,07:30:00,1200,0
109-I-D-B24,07:30:00,13:00:00,943,0
109-I-D-B25,13:00:00,18:00:00,900,0
109-I-D-B26,18:00:00,21:00:00,1200,0
109-I-D-B27,21:00:00,23:00:00,1200,0
109-I-D-B28,23:00:00,24:00:00,1200,0
109N-I-L-B00,00:00:00,01:00:00,1800,0
109N-I-L-B01,01:00:00,05:30:00,1800,0
109N-I-S-B12,00:00:00,01:00:00,1800,0
109N-I-S-B13,01:00:00,05:30:00,1800,0
109N-I-D-B21,00:00:00,01:00:00,1800,0
109N-I-D-B22,01:00:00,05:30:00,1800,0
109N-R-L-B00,00:00:00,01:00:00,1800,0
109N-R-L-B01,01:00:00,05:30:00,1800,0
109N-R-S-B12,00:00:00,01:00:00,1800,0
109N-R-S-B13,01:00:00,05:30:00,1800,0
109N-R-D-B21,00:00:00,01:00:00,1800,0
109N-R-D-B22,01:00:00,05:30:00,1800,0
109-R-L-B02,05:30:00,06:30:00,450,0
109-R-L-B03,06:30:00,08:00:00,491,0
109-R-L-B04,08:00:00,09:30:00,600,0
109-R-L-B05,09:30:00,12:30:00,568,0
109-R-L-B06,12:30:00,14:00:00,600,0
109-R-L-B07,14:00:00,16:30:00,450,0
109-R-L-B08,16:30:00,18:30:00,514,0
109-R-L-B09,18:30:00,20:30:00,600,0
109-R-L-B10,20:30:00,23:00:00,818,0
109-R-L-B11,23:00:00,24:00:00,1200,0
109-R-S-B14,05:30:00,06:30:00,720,0
109-R-S-B15,06:30:00,09:00:00,900,0
109-R-S-B16,09:00:00,12:00:00,900,0
109-R-S-B17,12:00:00,15:00:00,900,0
109-R-S-B18,15:00:00,19:30:00,900,0
109-R-S-B19,19:30:00,23:00:00,1145,0
109-R-S-B20,23:00:00,24:00:00,1200,0
109-R-D-B23,05:30:00,07:30:00,1200,0
109-R-D-B24,07:30:00,13:00:00,943,0
109-R-D-B25,13:00:00,18:00:00,900,0
109-R-D-B26,18:00:00,21:00:00,1200,0
109-R-D-B27,21:00:00,23:00:00,1200,0
109-R-D-B28,23:00:00,24:00:00,1200,0
110c-I-L-B03,06:30:00,08:00:00,450,0
110c-I-L-B04,08:00:00,09:30:00,540,0
110c-I-L-B05,09:30:00,12:30:00,900,0
110c-I-L-B06,12:30:00,14:00:00,900,0
110c-I-L-B07,14:00:00,16:30:00,818,0
110c-I-L-B08,16:30:00,18:30:00,554,0
110c-I-L-B09,18:30:00,20:30:00,554,0
110c-I-L-B10,20:30:00,23:00:00,1500,0
110c-I-S-B15,06:30:00,09:00:00,1286,0
110c-I-S-B16,09:00:00,12:00:00,831,0
110c-I-S-B17,12:00:00,15:00:00,831,0
110c-I-S-B18,15:00:00,19:30:00,900,0
110c-I-D-B24,07:30:00,13:00:00,1238,0
110c-I-D-B25,13:00:00,18:00:00,900,0
110c-I-D-B26,18:00:00,21:00:00,831,0
110c-R-L-B02,05:30:00,06:30:00,1200,0
110c-R-L-B03,06:30:00,08:00:00,450,0
110c-R-L-B04,08:00:00,09:30:00,540,0
110c-R-L-B05,09:30:00,12:30:00,900,0
110c-R-L-B06,12:30:00,14:00:00,900,0
110c-R-L-B07,14:00:00,16:30:00,692,0
110c-R-L-B08,16:30:00,18:30:00,554,0
110c-R-L-B09,18:30:00,20:30:00,480,0
110c-R-L-B10,20:30:00,23:00:00,1800,0
110c-R-S-B15,06:30:00,09:00:00,900,0
110c-R-S-B16,09:00:00,12:00:00,831,0
110c-R-S-B17,12:00:00,15:00:00,831,0
110c-R-S-B18,15:00:00,19:30:00,900,0
110c-R-D-B24,07:30:00,13:00:00,1100,0
110c-R-D-B25,13:00:00,18:00:00,900,0
110c-R-D-B26,18:00:00,21:00:00,982,0
110-I-L-B00,00:00:00,01:00:00,1800,0
110-I-L-B02,05:30:00,06:30:00,720,0
110-I-L-B03,06:30:00,08:00:00,540,0
110-I-L-B04,08:00:00,09:30:00,675,0
110-I-L-B05,09:30:00,12:30:00,635,0
110-I-L-B06,12:30:00,14:00:00,600,0
110-I-L-B07,14:00:00,16:30:00,600,0
110-I-L-B08,16:30:00,18:30:00,514,0
110-I-L-B09,18:30:00,20:30:00,655,0
110-I-L-B10,20:30:00,23:00:00,750,0
110-I-L-B11,23:00:00,24:00:00,1200,0
110-I-S-B12,00:00:00,01:00:00,1800,0
110-I-S-B14,05:30:00,06:30:00,1200,0
110-I-S-B15,06:30:00,09:00:00,692,0
110-I-S-B16,09:00:00,12:00:00,771,0
110-I-S-B17,12:00:00,15:00:00,720,0
110-I-S-B18,15:00:00,19:30:00,704,0
110-I-S-B19,19:30:00,23:00:00,1050,0
110-I-S-B20,23:00:00,24:00:00,1200,0
110-I-D-B21,00:00:00,01:00:00,1800,0
110-I-D-B23,05:30:00,07:30:00,1200,0
110-I-D-B24,07:30:00,13:00:00,900,0
110-I-D-B25,13:00:00,18:00:00,900,0
110-I-D-B26,18:00:00,21:00:00,982,0
110-I-D-B27,21:00:00,23:00:00,1200,0
110-I-D-B28,23:00:00,24:00:00,1200,0
110-R-L-B02,05:30:00,06:30:00,400,0
110-R-L-B03,06:30:00,08:00:00,540,0
110-R-L-B04,08:00:00,09:30:00,675,0
110-R-L-B05,09:30:00,12:30:00,675,0
110-R-L-B06,12:30:00,14:00:00,675,0
110-R-L-B07,14:00:00,16:30:00,600,0
110-R-L-B08,16:30:00,18:30:00,480,0
110-R-L-B09,18:30:00,20:30:00,554,0
